Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
Europe,Austria,Less than 150,Manufacturing,IT,IT,,Finance/Controlling,,IT,,,,,Operations/Production,,Sales,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Planned to use within 12 months,In use,Planned to use within 12 months,Planned to use within 12 months,Not required,Not required,2017,Competitively evaluated multiple products,,,,Ease of use for report designers,Ease of use for report recipients,Fast query performance,,,,,,International focus of the software,,,,,,,,,,,,,,,,,,,,,,Unclear requirements,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Definitely,Satisfactory,Satisfactory,Good,3 to less than 6 months,1 to less than 5 seconds,50 to less than 100 GB,View,,,,,,Not required,Planned within 12 months,,In use,Planned within 12 months,Planned in the long term,,,,In use,Planned within 12 months,,Not very feasible,Important,,,,,,,,,,,Sales management and analysis,,,,,,,,Predictive analytics,,,Austria,51-100,Less than 25,Less than 25,10 to less than 15%,Europe,Manufacturing,MS Power BI,,,,,,,,,,,,,Infor BI,,,,,,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,,,,,,,,DACH,Europe,200547,English,User,Microsoft Power BI,No
Europe,Germany,500 - 1500,Manufacturing,Business,Finance/Controlling,Management,Finance/Controlling,,,,,,,Operations/Production,,,,,Line of business employee,Yes,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Planned in the long term,In use,Planned in the long term,Not required,Planned in the long term,Not required,2010,No formal evaluation,,Support of large numbers of users,Large data handling capacity,,,,Predefined data connections,,,Size/financial stability of the vendor,,,,,,,,Bundled with another product,,,,,Customization of the product,,,,,,,,,,Lack of support from management,Unclear requirements,,,,,Company politics,Lack of interest from business users,,Poor data governance,,,,,,,,,,,,,,,,,,Poor,Poor,Poor,Poor,Poor,Low,Not achieved,Moderate,Low,Not achieved,Not achieved,Moderate,Low,Not achieved,Moderate,Moderate,Maybe,Very poor,Satisfactory,Satisfactory,3 to less than 6 months,10 to less than 30 seconds,,View,,,,Create reports,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,In use,In use,Not required,Not required,Not feasible at all,Not very important,,,,,,,,,,,Sales management and analysis,,,,,,,,,,Other,Germany,1001 – 2500,76 - 300,76 - 300,15 to less than 20%,Europe,Manufacturing,,,,,,,,,,,,,,,,Jedox,,,MS Excel,MS Power BI,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Jedox,,,MS Excel,MS Power BI,,,,,,,,,,,,,,,,,,Other,DACH,Europe,200548,Deutsch,User,Other,No
Europe,Germany,500 - 1500,Services,Did not respond,,Management,Finance/Controlling,,IT,,,Marketing,,,,,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO Analysis,SAP Analytics Cloud,,,,,,,,,,,,,,In use,Planned to use within 12 months,In use,Planned in the long term,Not required,Not required,Not required,,No formal evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear requirements,,,,Administrative problems,,,,,,,,,,,,,,,,,,,,,,Moderate,Moderate,Good,Good,Moderate,Not achieved,Moderate,Moderate,High,Not achieved,,Not achieved,Moderate,Not achieved,High,High,Probably,Good,Good,Satisfactory,,5 to less than 10 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Not required,Planned within 12 months,In use,Planned within 12 months,In use,Very feasible,Very important,,,Customer behavior analysis,,,,,,Unified view of customers,,,,,,,,,Corporate performance management,Predictive analytics,,,Germany,501 - 1000,76 - 300,76 - 300,30 to less than 40%,Europe,Services,SAP BO Analysis,,,,,,,,,,,,,,,,,,MS Excel,,,,,,,,,,,SAP Analytics Cloud,SAP BO Analysis,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP Analytics Cloud,SAP BO Analysis,,,,,,,Other,DACH,Europe,200549,Deutsch,Consultant,SAP BO Analysis,
Europe,Germany,More than 6000,Retail/Wholesale,IT,IT,Management,Finance/Controlling,Human resources,IT,Legal,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,Not required,In use,Before 2010,Competitively evaluated multiple products,Functionality,Support of large numbers of users,Large data handling capacity,,,,,,,,Flexibility,International focus of the software,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,Lack of interest from business users,,,,,,,,Software difficult to use,,,,,,,,,,,,Good,Good,Good,Good,Good,High,Moderate,Moderate,High,High,High,,High,High,High,Moderate,Probably,Good,Excellent,Good,,5 to less than 10 seconds,More than 500 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,In use,In use,In use,In use,Planned within 12 months,In use,In use,In use,Not required,Not required,Feasible,Important,Pricing and offer optimization,Supply network optimization,Customer behavior analysis,Churn prevention,Fraud prevention,,Geospatial analysis,Recommendation/Next-best-offer,Unified view of customers,Quality assurance/analysis,Sales management and analysis,,,,,,,,Predictive analytics,,,Germany,10001 -  100000,More than 300,More than 300,20 to less than 30%,Europe,Retail/Wholesale,MicroStrategy,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,MicroStrategy,,,,,,,,,,,SAS Enterprise BI,,,,,Other,,,,,,,,,,,,,,,,,,,,MS SSRS,MicroStrategy,,,,,,,,,,,SAS Enterprise BI,,,,,Other,DACH,Europe,200550,Deutsch,User,MicroStrategy,No
Europe,Germany,150 - 500,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,251 - 500,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DACH,Europe,200551,Deutsch,Vendor,,
Europe,Germany,Less than 150,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,101 - 250,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DACH,Europe,200552,Deutsch,Vendor,,
Europe,Germany,More than 6000,Retail/Wholesale,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,Planned to use within 12 months,Planned to use within 12 months,Planned in the long term,Planned in the long term,Not required,2017,Competitively evaluated multiple products,,,,Ease of use for report designers,Ease of use for report recipients,,,,,,,International focus of the software,Price-performance ratio,,,,,,Deployment option,,,,,,,,,,Tight deadline,,,,,,,,,Administrative problems,,,,,,,,Query performance too slow,,,,,,,,,,,,,,Good,Good,Good,Moderate,Good,Moderate,High,High,High,Moderate,Moderate,Low,High,High,High,High,Probably,Good,Good,Good,1 to less than 3 months,5 to less than 10 seconds,50 to less than 100 GB,View,,Explore/Analyze,Model/Enrich,,Not required,Not required,In use,Planned within 12 months,In use,Not required,In use,Planned within 12 months,In use,In use,In use,Not required,Planned within 12 months,Very feasible,Important,,Supply network optimization,Customer behavior analysis,,,,Geospatial analysis,,Unified view of customers,,Sales management and analysis,,,,,,,,,,,Germany,10001 -  100000,More than 300,25 - 75,1 to less than 5%,Europe,Retail/Wholesale,MS Power BI,,,,,,,,,,,IBM Cog Analytics,,,Information Builders,,,,,MS Power BI,MS SSRS,,,,,,,QlikView,,SAP Analytics Cloud,SAP BO Analysis,,,,,,,Other,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,DACH,Europe,200553,Deutsch,User,Microsoft Power BI,No
Europe,Germany,1500 - 6000,Other,Business,Finance/Controlling,,Finance/Controlling,Human resources,,,,Marketing,Procurement,Operations/Production,,Sales,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Planned in the long term,In use,In use,Planned in the long term,Planned to use within 12 months,Not required,Before 2010,,Functionality,,Large data handling capacity,Ease of use for report designers,Ease of use for report recipients,,,,,,Flexibility,,,,,,,,,,,,,,,,Lack of resources on the project team,,,,,Lack of project management,,Unclear requirements,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,Moderate,High,Moderate,High,,Moderate,,Moderate,Moderate,High,High,Definitely,None used so far,Good,Good,,1 to less than 5 seconds,,,Navigate,Explore/Analyze,,Create reports,Not required,Planned in the long term,Not required,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Not required,Planned in the long term,Planned within 12 months,Not required,Not required,Planned in the long term,Feasible,Important,Pricing and offer optimization,,Customer behavior analysis,,Fraud prevention,,,,,,Sales management and analysis,,,,,,,,,,,Germany,2501 – 10000,76 - 300,25 - 75,1 to less than 5%,Europe,Other,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikView,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,Other,DACH,Europe,200554,Deutsch,User,QlikView,No
Europe,Germany,150 - 500,Other,Business,Finance/Controlling,,Finance/Controlling,,IT,,,Marketing,,Operations/Production,,Sales,Service,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,IBM Cog TM1 (Excel),IBM Cog TM1 (Web),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Planned to use within 12 months,In use,In use,Planned in the long term,In use,Not required,Before 2010,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,Ease of use for report recipients,,,,,,,,,,,,,,,,Other,,,Data migration,,,Lack of resources on the project team,,,,,,Lack of support from management,,,,,,,,,,Poor data quality,,,,,Software difficult to use,,,,,,Poor,Average,,Poor,,Average,Good,Good,,,,Moderate,High,High,Moderate,,,Low,Moderate,,High,High,Probably,Not very good,Excellent,Satisfactory,1 to less than 3 months,1 to less than 5 seconds,1 to less than 5 GB,View,,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,In use,Planned in the long term,Planned in the long term,In use,Planned within 12 months,Not required,Planned within 12 months,In use,Not required,Planned in the long term,Not very feasible,Important,,,Customer behavior analysis,Churn prevention,,,,Recommendation/Next-best-offer,Unified view of customers,,Sales management and analysis,,,,,,,,,,,Germany,251 - 500,25 - 75,Less than 25,10 to less than 15%,Europe,Other,IBM Plan Analytics,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,IBM Plan Analytics,,,,,,,,,,,,,,,,,,,,,,,,,Other,DACH,Europe,200555,Deutsch,User,IBM Planning Analytics,Yes
Europe,Germany,Less than 150,IT,IT,IT,Management,Finance/Controlling,,IT,,Logistics,,,Operations/Production,,Sales,Service,,IT employee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Not required,Planned in the long term,Planned in the long term,Before 2010,Competitively evaluated multiple products,,Support of large numbers of users,,,Ease of use for report recipients,Fast query performance,,,Vendor or product reputation,,Flexibility,,,,,,,,,,,,,Data migration,,,,,,Costs higher than expected,,,Lack of support from management,,,,,,,,,,,,,,,,,,,,,Good,Good,Average,Average,Average,Average,Good,Good,Moderate,Moderate,Moderate,Low,Moderate,Low,High,Moderate,Low,Low,Low,Low,High,High,Probably,Good,Good,Good,3 to less than 6 months,10 to less than 30 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,Create reports,Planned within 12 months,Not required,Not required,Not required,In use,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Feasible,,,,Customer behavior analysis,,,,,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,,,,,,,,,,,Germany,51-100,25 - 75,25 - 75,50 to less than 75%,Europe,IT,SAP BO WebI,,,,,,,,,,,,,,,,,,,,MS SSRS,,,,,,,,,,,SAP BO WebI,,,,,,,,,,,,,,,,,,,,,,,,,,MS SSRS,,,,,,,,,,,SAP BO WebI,,,,,,,DACH,Europe,200556,Deutsch,User,SAP BO Web Intelligence,Yes
Europe,Germany,150 - 500,Utilities,Business,Finance/Controlling,,Finance/Controlling,,IT,,,Marketing,,,,Sales,,,Line of business employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cubus,,,,,Microsoft Excel stand alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,In use,Planned in the long term,Not required,In use,In use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,,,,,,High,,,,,,Not achieved,,Moderate,Probably,None used so far,None used so far,,,1 to less than 5 seconds,,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,,,,In use,,,,In use,,,Not very feasible,Very important,Pricing and offer optimization,,Customer behavior analysis,Churn prevention,,Security analytics,,,,,Sales management and analysis,,,,,,,Corporate performance management,,,,Germany,251 - 500,25 - 75,Less than 25,5 to less than 10%,Europe,Utilities,SAP BO Analysis,,,,,,cubus,,,,,,,,,,,,,,MS SSRS,,,,,,,,,,,,,,,,,Other,,,,,,cubus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,DACH,Europe,200557,Deutsch,User,SAP BO Analysis,No
Europe,Austria,1500 - 6000,Financial Services,Business,Finance/Controlling,,Finance/Controlling,,,Legal,,Marketing,,,,Sales,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO Analysis,,,,SAP BO WebI,SAP BPC,,,,,,,,,,In use,In use,In use,In use,Not required,In use,Not required,2010,Evaluated only the selected product,Functionality,,,,Ease of use for report recipients,,Predefined data connections,,,,Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,High,High,High,High,,,,High,,High,High,Probably,Good,Good,Good,3 to less than 6 months,Less than 1 second,,,Navigate,Explore/Analyze,,,,,,,,,,,,,,,,Feasible,Important,,,,,,,,,,,,,,,,,,,,,,Austria,2501 – 10000,More than 300,More than 300,5 to less than 10%,Europe,Financial Services,,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,,,,,,,,,,SAP BO WebI,,,,,,Other,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,,,,,,,,,,SAP BO WebI,,,,,,Other,DACH,Europe,200558,Deutsch,User,Other,No
Europe,Germany,More than 6000,IT,Did not respond,,,Finance/Controlling,Human resources,IT,,Logistics,,Procurement,,R&D,Sales,,,External consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Before 2010,Competitively evaluated multiple products,Functionality,,,,,,Predefined data connections,,,Size/financial stability of the vendor,Flexibility,,,,,,,Bundled with another product,,,,,,,,,Lack of resources on the project team,,,Costs higher than expected,,,,,Software-related issues,,,,,,,,,,,Query performance too slow,,,,,Unreliable software,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Maybe,Satisfactory,Good,Good,1 to less than 3 months,5 to less than 10 seconds,5 to less than 10 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Planned in the long term,,,,In use,In use,In use,In use,In use,In use,In use,In use,,Feasible,Important,Pricing and offer optimization,Supply network optimization,Customer behavior analysis,Churn prevention,Fraud prevention,Security analytics,Geospatial analysis,Recommendation/Next-best-offer,Unified view of customers,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,Predictive maintenance,Simulation,Real-time process monitoring,Capacity/resource planning,IoT analytics,Corporate performance management,Predictive analytics,,,Germany,More than 100000,More than 300,More than 300,5 to less than 10%,Europe,IT,SAP BO WebI,,,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,,,,,,,,,,,,DACH,Europe,200559,Deutsch,Consultant,SAP BO Web Intelligence,
Europe,Germany,More than 6000,Retail/Wholesale,Business,Finance/Controlling,Management,Finance/Controlling,,,,,,Procurement,,,Sales,,,Line of business employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Planned to use within 12 months,In use,Planned to use within 12 months,Planned in the long term,Not required,Not required,Before 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company politics,,,Poor data governance,,,,,,,,Unable to get or analyze data,,,,Good,Very good,Good,,Average,Good,Good,Good,Good,Moderate,,,Moderate,Moderate,Moderate,Low,Moderate,,Moderate,High,High,High,Definitely,Good,None used so far,,,30 to less than 60 seconds,,View,,Explore/Analyze,,Create reports,,,Planned in the long term,Planned in the long term,Planned within 12 months,Planned within 12 months,In use,Planned in the long term,Planned in the long term,Planned within 12 months,In use,Planned in the long term,Planned in the long term,Very feasible,Important,,,,,,Security analytics,Geospatial analysis,,,,Sales management and analysis,,,Simulation,,,,,Predictive analytics,,,Germany,10001 -  100000,76 - 300,76 - 300,1 to less than 5%,Europe,Retail/Wholesale,MicroStrategy,,,,,,,,,,,,,,,,,,,MS Power BI,,MicroStrategy,,,,,,,,,,,SAS Enterprise BI,,,,,,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,DACH,Europe,200560,Deutsch,User,MicroStrategy,Yes
Europe,Germany,500 - 1500,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,501 - 1000,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DACH,Europe,200561,Deutsch,Vendor,,
